true_sentiment,paraphrased_title
Negative,Impact of New Northern Ireland Deal on GBPUSD May Be Short-Lived – ING
Neutral,UK PM Sunak: New Northern Ireland Agreement Not Tied to Any Single Political Party
Negative,EURUSD Risks Testing 10500 Remain Elevated in Near Term – ING
Positive,USDJPY Shifts Focus to 13790 Level – UOB
Neutral,EU's Gentiloni: EU Likely to Steer Clear of Severe Recession
Positive,"USDJPY Holds onto Gains near Year-to-Date High, Poised for Further Appreciation"
Negative,Sterling Expected to Face Depreciation Pressure Despite Brexit Deal – Commerzbank
Neutral,"Key Trading Levels for EURGBP, NZDJPY, NZDUSD, USDCAD, USDCHF, and USDJPY"
Positive,"GBPUSD Rises to 12100 Amid Brexit Optimism and Weakening USD, But Follow-Through Lacks"
Positive,"EURUSD Holds Firm, Surges to 3-Day Highs near 10620"
Negative,GBPUSD Forex Analysis: Retest & Failure At 1.2100 Level?
Positive,"EURCHF: More Upside Pressure Possible, SNB Could Intervene – Commerzbank"
Positive,USDJPY Expected to Reach 125 by End of 2023 – SocGen
Positive,EURUSD Anticipated to Rebound towards 110 by End of March – SocGen
Negative,AUDUSD May Extend Decline to 06550 Mark – SocGen
Neutral,"AUDUSD Price Analysis: Trading Flat Above 06700 Mark, But Still Faces Uncertainty"
Positive,"GBPUSD Price Analysis: Continues to Climb Beyond 12100, Targets 50-Day SMA amid Weakening USD"
Neutral,GBPUSD Must Maintain 200-Day Moving Average at 11926 to Prevent Deeper Losses – SocGen
Positive,GBPUSD Has Potential to Reach Recent Peaks in Mid-124s – Scotiabank
Positive,EURUSD & GBPUSD Extend Gains in Early US Trading: What Levels Are in Play?
Neutral,EURUSD Price Analysis: Initial Resistance at 55-Day SMA
Neutral,GBPUSD Expected to Reach 122 by End of 2023 and 124 by Mid-2024 – Wells Fargo
Negative,EURUSD Euro Bulls Facing Challenges – SocGen
Negative,EURUSD Sellers Active during London Fixing
Neutral,USDJPY Price Analysis: Pulls Back Below 13600 as Bulls Take a Pause
Positive,"EURUSD Price Analysis: Bullish Momentum Maintained above 10580, Targets 10700"
Neutral,AUDUSD Setting Up for Battle between Buyers and Sellers
Positive,AUDUSD Analysis: Bulls Targeting Daily Trendline Resistance and Confluence Near 06800
Negative,GBPUSD: Bears Return as US Dollar Rallies from Session Lows
Neutral,GBPUSD: Price Movements Show Volatility with Fluctuations
Negative,"Forex Today: Same Fears Persist, US Dollar Benefits"
Negative,EURUSD Loses Crucial Support at 10580 amid Fed Rate Hike Concerns
Neutral,AUDUSD Holds Above 06700 as Australia GDP and China-US PMI Awaited
Positive,GBPUSD Advances Toward 12030 amid Positive Technical Signals and Brexit Developments
Neutral,Australian Q4 2022 GDP Release: Potential Impact on AUDUSD
Positive,USDJPY Approaches Two-Month High near 13700 on BoJ's Favorable Policy Stance
Negative,"EURUSD Bears Break Key Lows, Dipping Below 10570"
Negative,Aussie Data Release Sends AUDUSD Plummeting
Negative,AUDUSD Drops to Near 06700 on Disappointing Australian GDP and Inflation Figures
Positive,Positive Surprise in China's NBS Manufacturing and Non-Manufacturing PMIs Boost AUD Bulls
Neutral,BoJ's Nakagawa Stresses Importance of Easy Monetary Policy to Support Economy
Negative,"GBPUSD Pulls Back from 12110 Resistance, Attracting Sellers"
Positive,"China's Caixin Manufacturing PMI Beats Expectations, Positive for Market Sentiment"
Neutral,NZDUSD Bulls Return after Positive China Data
Positive,AUDUSD Rebounds from Two-Month Low to 06750 on Strong China PMI Data
Negative,EURUSD Bears Maintain Control despite Corrective Bounce Attempting to Reach 10600
Positive,USDJPY Eyes Another Battle with Key Moving Averages above 13600
Positive,GBPUSD Strengthens Above 12000 amid Positive China PMI Data
Positive,"EURUSD Aims to Reclaim 10600 as US Dollar Bulls Pause, Focus on German Inflation and US PMI"
Positive,BoJ's Nakagawa: Aiming for Positive Economic Cycle and Higher Wages
Positive,AUDUSD Extends Recovery to 06760 as Upbeat Caixin PMI Outweighs Aussie CPI
Neutral,"EURUSD Enters Consolidation Range, Says UOB"
Positive,"USDJPY Maintains Modest Gains Below Mid-13600s, Near Year-to-Date Peak"
Neutral,"GBPUSD Currently Ranges between 11970 and 12160, Says UOB"
Neutral,Commerzbank Predicts Possible EURUSD Recovery to 110 in Medium Term
Negative,AUDUSD Outlook Remains Weak According to UOB
Negative,"GBP May Face Depreciation Pressure If Bailey Expresses Caution, Commerzbank Suggests"
Positive,"USDJPY Could See Additional Gains Beyond 13690, UOB Predicts"
Positive,GBPUSD Rebounds Toward 12100 Amid USD Supply Pressure
Neutral,"GBPUSD Might Retreat to 12100 on Slightly Weaker Dollar, ING Says"
Neutral,ECB's Muller: Rate Hikes Impact Felt but Inflation Still Too High
Neutral,ECB's Villeroy: French Inflation to Peak in First Semester
Neutral,"German Unemployment Rate Steadies at 5.5% in January, as Expected"
Negative,"AUDUSD Struggles Against Dollar Strength, Commerzbank Suggests"
Positive,ING Predicts EURUSD Bottoming at 1.05 in First Quarter
Positive,EURUSD Surges to Multi-Session Highs Above 1.0650 Ahead of Key Data
Positive,AUDUSD Continues Recovery Toward 0.675-0.680 Zone Amid Weakening USD
Neutral,ING: New UKEU Deal Not Expected to Significantly Impact Sterling
Positive,BoE's Bailey: Further Increase in Bank Rate May Be Appropriate
Positive,ECB's Nagel: Further Rate Hikes May Be Necessary Beyond March
Negative,"USDJPY Flirts with Weekly Low Amid Broad USD Weakness, Holds Above Mid-13500s"
Positive,Barclays: EURUSD Could Gain Additional 3-4% Upside Potential Due to China's Reopening
Negative,Commerzbank Forecasts Possible Retreat in EURUSD Toward Week's Lows
Positive,Credit Suisse: GBPUSD Likely to Break Above 1.2450 Post Range-Bound Phase
Negative,Credit Suisse: Risk of USDJPY Turning Lower If 200DMA at 13720 Caps Upside
Positive,"Scotiabank: EURUSD Expected to See Further Gains Toward 1.07, Potentially 1.08"
Positive,EURUSD Analysis: Eyes YTD High Beyond 1.0804
Neutral,Credit Suisse: EURUSD Expected to Find Key Support at 1.0483-1.063
Negative,AUDUSD Retraces Towards 100-Hour Moving Average
Negative,GBPUSD Dips Below 1.2000 After US ISM Manufacturing PMI Release
Positive,GBPUSD Attracts Buyers Near 100-Day Moving Average/Swing Area
Positive,USDJPY Rises Above 100-Hour Moving Average on Higher Yields
Positive,Eurozone HICP Preview: Core Inflation Expected to Reach New Highs
Negative,EURUSD Retreats from Weekly Highs After US ISM Manufacturing PMI
Negative,USDJPY Hovers Around 13600 After US ISM PMI Data
Neutral,AUDUSD Analysis: Bulls Remain Active Near 0.68 Levels Amid Bearish Sentiment
Negative,GBPUSD Analysis: Bears Target Last Week's Lows
Negative,Forex Today: Global Inflation Fears Do Little to Boost USD
Negative,USDJPY Analysis: Bears Challenge Trendline Support
Negative,EURUSD Eyes 1.07 Amid ECB's Rate Expectations and German Inflation
Positive,AUDUSD Trades Near Mid-0.6700s Amid USD Weakness
Neutral,GBPUSD Rebounds from 1.2000 Amid Uncertainty from BoE Bailey's Remarks
Positive,USDJPY Aims to Break 13620 Amid Renewed Fed Rate Hike Speculation
Positive,EURUSD Analysis: Bulls Target 1.07 Amid 50-Day Exponential Moving Average
Positive,AUDUSD Analysis: Bulls Target Key Daily Structure
Positive,BoJ's Takata Emphasizes Need to Maintain Current Monetary Policy Easing
Negative,GBPUSD Analysis: Bears Eye Break of Key Support
Positive,USDJPY Analysis: Rebounds from 50-Day Simple Moving Average Above 13600
Neutral,AUDUSD Defends 0.6730 Amid USD Index and Yield Movements
Neutral,Former BoJ's Shirakawa Urges Reexamination of Monetary Framework and Inflation Targets
Negative,EURUSD Vulnerable Near 1.0660 Amid Rising Yields and Fed Speculation
Negative,GBPUSD Registers Three-Day Decline Below 1.2080 on Brexit and Yield Concerns
Neutral,BoJ's Takata: No Immediate Need for Additional Measures to Improve Market Functioning
Neutral,China's GDP Target Range Estimated Between 5.5% and 6% - Reuters
Negative,AUDUSD Analysis: Bears Target Support Confluence Near 0.6700
Negative,EURUSD Unlikely to Sustain Move Above 1.0750 - UOB
Negative,EURUSD Slides Towards 1.0600 Amid Rising Yields and Eurozone Inflation
Positive,"USDJPY Approaches Year-to-Date Highs, Bulls Await Break Above 100-Day SMA"
Neutral,"GBPUSD Range-Bound, Sticking to Consolidative Pattern - UOB"
Positive,ECB's Hawkish Stance Supports Euro - CIBC
Positive,AUDUSD Forecasted to Reach 0.74 by Year-End - BofA
Neutral,Lagarde Speech: Case for 0.50% Rate Hike Still on the Table
Positive,EURUSD Could Reach 1.07 if EU Inflation Surprises Positively - Commerzbank
Neutral,Lagarde Speech: Price Decline Not Stabilized
Neutral,China's Commerce Ministry: Prepared to Discuss Trade Restrictions with US
Negative,GBPUSD Retreats Toward Mid-1.1900s Amid Stronger USD
Positive,USDJPY Likely to Advance Further Above 136.90 - UOB
Neutral,EURUSD Expected to Trade in 1.0600-1.0700 Range Today - ING
Neutral,BoE DMP Survey: Businesses Expectations for Own-Price Inflation Decline
Negative,Eurozone Preliminary HICP Inflation Eases to 8.5% YoY in February
Negative,EURUSD Under Pressure Near 1.0600 Post EMU CPI Release and Ahead of ECB
Negative,"AUDUSD Hits Daily Low, Vulnerable Near 0.6725-0.6750 Area Amid Stronger USD"
Negative,"BoE Likely to Slow Rate Hikes or Pause Cycle, Impacting Pound - Commerzbank"
Positive,"Rates Expected to Peak in September, Dollar Forecasted to Decrease - SocGen"
Negative,USDJPY Expected to Test 120 Level by Year-End - CIBC
Positive,EURUSD Forecasted to Reach 1.12 by Year-End - Barclays
Positive,ECB Accounts: Further Rate Hikes Needed to Move Policy into Restrictive Territory
Negative,"USDJPY Expected to Strengthen Medium-Term, Patience Required - HSBC"
Negative,"GBPUSD Analysis: Bears Aim to Seize Control, Await Break Below 200 DMA"
Positive,EURUSD Forecasted to Drift Higher Later in the Year - MUFG
Positive,GBPUSD Anticipated to Retest Early 2023 Highs Above 1.24 in Q2 - CIBC
Neutral,EURUSD Analysis: 55-Day SMA Limits Upside Movement for Now
Positive,"USDJPY Hits Two-Month Highs, Faces Resistance at 137.00"
Neutral,BoE's Pill: Current Economic Momentum Potentially Stronger Than Expected
Neutral,"AUDUSD Correction Expected to Fade in H1, Positive Outlook Beyond - MUFG"
Neutral,AUDUSD Approaches 100-Day and 100-Hour Moving Averages
Neutral,EURUSD Attempts to Bounce with Overhead Moving Average Resistance
Neutral,"GBPUSD Rebounds from 200-Day Moving Average, Future Uncertain"
Negative,"GBPUSD Falls Below 1.2000 on US Jobs Data, Strong UST Bond Yields"
Negative,"EURUSD Approaches Lows, Downside Target Looms"
Negative,"EURUSD Trims Wednesday's Gains, Falls Below 1.0600"
Neutral,"EURUSD, GBPUSD, & USDJPY Retreat After Near-Breakdown"
Positive,ECB Expected to Raise Rates by 50 Basis Points in March and May - Danske Bank
Negative,"AUDUSD Retreats on US Jobless Claims, Hovers Around 0.6730"
Positive,AUDUSD Rises Toward 100-Day and 100-Hour Moving Averages
Neutral,EURUSD Pares Weekly Gains Amid ECB and Fed Officials' Remarks on Higher Rates
Negative,GBPUSD Analysis: Downside Likely After Descending Triangle Breakdown Below 1.1900
Positive,ECB's Wunsch: 4% Interest Rate Cannot Be Ruled Out if Core Inflation Stays High
Neutral,AUDUSD Analysis: Attempting Bullish Reversal
Positive,"RBA Expected to Raise Rates to 3.60% on March 7, Finish at 3.85% in Q2 - Reuters Poll"
Positive,"USDJPY Rebounds From 136.50 as Tokyo Inflation Softens, US Services PMI Awaited"
Negative,EURUSD Analysis: Recovery Within Triangle Unlikely Unless Buyers Push Above 1.0685
Neutral,"GBPUSD Seeks to Reclaim 1.2000 Amid Mixed Fed Talks, UKUS PMI in Focus"
Positive,"Japan's Suzuki Pledges to Accelerate Addressing Issues with Energy, Food Price Hikes"
Positive,"China's Caixin Services Data Beats Expectations, Adds to Positive Economic Indicators"
Neutral,AUDUSD Remains Stable Around 0.6740 Despite Positive Caixin Services PMI
Negative,USDJPY Slips Below 137.00 Within One-Week Rising Wedge Pattern
Neutral,"EURUSD Aims to Break Above 1.0600 Amid USD Index Volatility, US Services PMI Awaited"
Neutral,"GBPUSD Bounces Off Key Support, Bulls Target 1.1975 Hurdle"
Positive,"AUDUSD Shows Mild Strength Around 0.6750 Amid Offbeat USD Yields, US ISM Services PMI in View"
Positive,"USDJPY Aims to Reclaim 137.00 Despite Risk-Off Sentiment, Focus on US Services PMI"
Positive,ECB Expected to Set Terminal Rate at 4% - Morgan Stanley
Neutral,EURUSD Faces Consolidation Within 1.0530-1.0700 Range - UOB
Positive,EURUSD Forecasted for Modest Recovery in Coming Weeks - HSBC
Negative,GBPUSD Likely to See Deeper Pullback Below 1.1900 - UOB
Neutral,AUDUSD Downside Momentum Appears to Be Mitigated - UOB
Neutral,EURUSD Volatility Expected to Range Between 1.0510 and 1.0700 in Q2 - ING
Negative,"USDJPY Moves Away from Year-to-Date Peak, Eyes 136.00 Amid USD Supply"
Positive,Widening Nominal Rate Differential Favors Modest Uptrend in EURCHF - CIBC
Negative,Euro Could Face Significant Losses if Core Inflation Eases - Commerzbank
Positive,GBPUSD Climbs Closer to 1.2000 Amid Broad-Based USD Weakness
Neutral,USDJPY's Test of 137.90 Appears to Be Losing Traction - UOB
Positive,ECB Expected to Follow March Rate Hike with Additional Increases - Vasle
Neutral,ECB's de Guindos: Interest Rate Path After March to Be Data-Dependent
Positive,ECB's Muller: March Rate Hike Likely Not Final Decision
Negative,USDJPY Expected to Resume Yen Strengthening Trend - MUFG
Neutral,"AUDUSD Touches Fresh Daily Highs Around 0.6765, Upside Potential Limited"
Negative,CIBC Predicts Further Downside for AUDUSD and NZDUSD Before Eventual Rebounds
Positive,"EURUSD Reclaims 1.0600 Level, Demonstrates Strength"
Positive,MUFG: GBP Trend Expected to Strengthen Later in the Year
Negative,OCBC Warns Break Below 1.1920 Could Intensify Downward Pressure on GBPUSD
Neutral,Scotiabank: GBPUSD Could Experience More Range Trading Around 1.2000 Point
Neutral,"GBPUSD Holds Gains Around 1.2000 Mark, 200 DMA Seen as Key for Bulls"
Negative,Scotiabank: EURUSD Could Experience More Downward Pressure Below 1.0580
Negative,USDJPY Flirts with Daily Low Around 136.00 Amid Weaker USD
Neutral,US ISM Services PMI: How Could It Impact EURUSD?
Positive,Bulls in EURUSD Eye Clearing the 55-Day SMA
Positive,ABN Amro Predicts Upside Potential for EURUSD by End of 2023 and 2024
Neutral,GBPUSD Remains Near 1.2000 Amid Flat US Data for the Week
Neutral,"AUDUSD Consolidates Around 0.6740 for the Week, Fed Speeches in Focus"
Positive,USDJPY Holds the 200-Hour MA for the 3rd Time in 6 Days
Negative,USDJPY Retraces Toward 136.00 on Softening USD
Positive,Dollar Ends Four-Week Positive Streak Ahead of NFP Week
Positive,"USD Drops Further Late on Friday, Extending Weekly Losses"
Positive,EURUSD Extends Gains Above 1.0600 Amid Softening US Dollar
Negative,AUDUSD Dips Below 100-Hour/100-Day MA After ISM Data
Positive,"AUDUSD Shows Consolidation Ahead of RBA, Risk Events"
Neutral,Bulls in EURUSD Aim for Testing Bear Commitments Near 1.0700
Positive,"ECB's Lagarde: Eurozone Inflation to Stay High, Increasing Certainty of 50 bps Rate Hike"
Neutral,GBPUSD Sees Retreat Toward Resistance-Turned-Support Near 1.2000
Negative,Bears Maintain Control in USDJPY Below 136.50
Negative,Pullback in AUDUSD Highlights Support Near 0.6720
Neutral,China Sets Annual Growth Target at 5%
Positive,"EURUSD Advances Beyond 1.0600 Ahead of Eurozone Retail Sales, Focus on Fed Chair Powell and US NFP"
Negative,"GBPUSD Slightly Weaker Below 1.2050 as Brexit Optimism Wanes, UKUS Data and Fed Chair Powell Eyed"
Negative,"USDJPY Traces Sluggish Yields Below 136.00, Focus on Fed's Powell and BoJ's Kuroda"
Neutral,China's NDRC Reports Steady Improvement in Economy
Neutral,"AUDUSD Seeks to Reclaim 0.6800 Amid Mixed China News, RBA vs Fed Dynamics, US NFP Eyed"
Neutral,EURUSD Encounters 100SMA Resistance Amid Slow Start to Key Week
Neutral,"GBPUSD Holds Steady Above 1.2000 Mark Amid Softer USD, Consolidation in Range"
Neutral,"EURUSD Faces Further Consolidation Near Term, According to UOB"
Neutral,"GBPUSD Expected to Trade Within 1.1925-1.2120 Range, UOB Suggests"
Negative,ECB's Centeno Remarks: Interest Rates Have Risen Too Quickly
Positive,UOB: Weak Phase Over for AUDUSD
Neutral,"USDJPY Trades with Modest Losses Amid Softer USD, Limited Downside Seen"
Neutral,"AUDUSD Holds Steady Above Mid-0.6700s, Remains Confined in Trading Range"
Neutral,OCBC's RBA Preview: Downside Risk for AUD Lies in Dialing Down Hawkish Rhetoric
Neutral,"EURUSD Likely to End March in 1.0700-1.0800 Area, ING Predicts"
Neutral,"USDJPY Engages in Range-Bound Trading, UOB Observes"
Neutral,"OCBC: EURUSD Faces Resistance at 1.0660-1.0800, Support at 1.0580"
Positive,EURUSD Extends Rally to 1.0660 Region Amid Weakening USD
Negative,Eurozone Sentix Investor Confidence Index Falls to 111 in March vs Expected 86
Negative,Eurozone Retail Sales Decline 2.3% YoY in February vs Expected 1.9%
Negative,OCBC: GBPUSD Potentially Forms Descending Triangle with Support at 1.1920 Levels
Neutral,"Commerzbank: EURUSD Moderately Positive in Medium-Term, Less Optimistic Long-Term"
Neutral,ING: UK Catalyst Hard to Find for Sterling Breakout of Recent Ranges This Week
Positive,RBA Preview: Forecast from 9 Major Banks Expect Fifth Rate Hike by 25 bps
Negative,MUFG: USDJPY's Upside Potential Diminishing
Negative,SocGen: EURUSD's Crucial Support Zone at January Low of 1.0480-1.0440
Neutral,EURUSD Price Analysis: Gains Limited by the 55-Day SMA
Neutral,SocGen: USDJPY Needs to Overcome December Peak of 137.70-138.10 for Larger Rebound
Negative,MUFG: Less Hawkish RBA Message Could Weigh on Aussie
Neutral,USDJPY Moves Around 200-Hour MA
Neutral,EURUSD Maintains Position Above 100-Hour MA with Upside Potential
Negative,Rabobank: EURUSD Could Dip Below 1.0600 Level Mid-Year
Positive,NBF: Euro Could Appreciate in Second Half of Year
Negative,"GBPUSD Turns Negative, Bears Targeting 1.2000 Below 100DMA"
Neutral,TDS: Three Scenarios for RBA Preview and Their Implications on AUDUSD
Positive,"EURUSD Strengthens, Approaching Last Week's Highs"
Neutral,GBPUSD Approaches 100-Day MA and Stalls
Positive,EURUSD Tests High from Last Week
Negative,GBPUSD Pressured by Late US Dollar Comeback and Central Bank Divergence Themes
Neutral,Forex Today: Markets Remain Choppy as Powell Takes Center Stage
Neutral,AUDUSD Levels in Focus Ahead of Rate Decision
Positive,AUDUSD Extends Recovery Above 0.6730 as RBA Signals Further Rate Hikes
Positive,GBPUSD Price Analysis: Bulls Face Challenges Past 1.2000
Neutral,EURUSD Price Analysis: Targets 1.0700 Amid Risk-On Sentiment
Neutral,USDJPY Fluctuates Around 135.90s Ahead of Powell's Speech
Neutral,Aussie Trade Balance Data Leaves AUDUSD Unchanged
Neutral,"AUDUSD Edges Above 0.6700 on Mixed Australian Trade Numbers, RBA and Fed Chair Powell Eyed"
Negative,EURUSD Slips Below 1.0700 Ahead of Fed Chair Powell's Testimony
Neutral,GBPUSD Remains Range-Bound Above 1.2000 as Fed Powell's Testimony Takes Spotlight
Neutral,Analysts Predict Possible China Reserve Requirement Ratio (RRR) Cut
Neutral,USDJPY Recovery Needs Confirmation from 13650 Hurdle
Neutral,China's Qin Wei Strongly Opposes Hegemony and Cold War Mentality
Positive,Australia's PM Albanese: Relations with China Improving
Neutral,RBA Raises OCR by 25 bps to 3.60% in Expected March Move
Negative,"AUDUSD Plunges to 0.6700 Despite RBA Rate Hike, Attention Shifts to Fed's Powell"
Neutral,RBA: Monthly CPI Suggests Inflation Peaked in Australia
Neutral,China's Trade Balance Surplus Expands as Imports Decline in January-February
Neutral,EURUSD Poised to Test 1.0700 Ahead of Fed Powell's Testimony and US Employment Data
Positive,GBPUSD Bulls Maintain Control Near 1.2050 Within Ascending Triangle Pattern
Negative,AUDUSD Prone to Downside Below 0.6700 Despite Hawkish RBA
Neutral,USDJPY Hovering Around 13600 Amid Fed Powell's Testimony and BoJ Policy Focus
Positive,"EURUSD Could Move to 1.0750, Says UOB"
Negative,"GBPUSD Likely to Consolidate Near Term, UOB Analysis Suggests"
Neutral,"EURUSD May Retrace to Lower End of 1.0600-1.0700 Range, ING Predicts"
Neutral,"USDJPY Signals Further Range-Bound Movement, UOB Analysis Shows"
Negative,GBPUSD Holds Near Daily Low Before Powell's Testimony
Negative,AUDUSD Weakens Below 0.6700 Amid Perceived Lack of Restriction in RBA's Statement
Neutral,"ECB's de Cos: Spain's Core CPI to Remain High Short-Term, Then Gradually Ease"
Negative,"AUDUSD Dips Below 0.6700, Reaches Fresh Year-to-Date Low Before Powell's Testimony"
Negative,"EURCHF Not Ready for Sustainable Rise Above Parity, Commerzbank Suggests"
Positive,BoE's Mann: More Rate Adjustments Needed
Negative,"EURUSD Appears Bearish Near 1.0660, Awaits Powell's Testimony"
Neutral,Commerzbank: Battle Between EUR and USD Not Yet Decided
Neutral,USDJPY Struggles for Direction Around 13600 Before Fed's Powell Testimony
Negative,"RBA's Dovish Rate Hike Frustrates AUD Bulls, Says SocGen"
Negative,"GBPUSD Vulnerable if Powell and US NFP Prompt Fresh Dollar Buying, Warns SocGen"
Negative,GBPUSD Slides Below 1.2000 Amid Modest USD Strength Ahead of Fed's Powell
Neutral,"USDJPY May Trade Around 135-137 Range Through March, Predicts ING"
Negative,"EURCHF Faces Significant Drop Below 0.9840-0.9830, SocGen Warns"
Negative,"AUDUSD Continues Post-RBA Losses, Hits Fresh Year-to-Date Low Before Fed's Powell"
Negative,"GBPUSD Expected to Remain Weak Through March, ING Predicts Return to 1.2300-1.2500 in Summer"
Positive,"EURUSD Bulls Need to Clear 1.0700 Region, Analysis Suggests"
Neutral,"AUDUSD Likely to Stay Weak Until Mid-Year, Rabobank Predicts Climbing to 0.7000 by End of 2023"
Positive,USDJPY Surges Toward 13680s After Hawkish Speech by Powell
Negative,EURUSD Dips Toward 1.0580 as DXY Rises on Fed Powell's Remarks
Negative,"EURUSD Corrects Toward 200-Hour MA, Encounters Sellers"
Negative,GBPUSD Plunges Below 1.1900 on Hawkish Remarks by Fed's Powell
Negative,"AUDUSD Falls Heavily, Approaching Target Area Around 0.6580s"
Positive,ECB's Knot: ECB Likely to Raise Rates Beyond March
Negative,"EURUSD Continues to Decline in Late US Trade, Bears Remain Active"
Negative,"USD Strength Welcomed by Dollar Bulls, Volatility Expected to Persist"
Positive,"USDJPY Bulls Target Break of 200 DMA, Aiming for 13820s"
Neutral,RBA's Lowe: Closer to Pausing on Rate Hikes
Negative,AUDUSD Under Pressure at Four-Month Low Below 0.6600 as RBA's Lowe Sounds Dovish
Negative,EURUSD Bears Attack Two-Month Support Near 1.0540
Positive,RBA's Lowe: China Reopening Positive for Australian Economy
Negative,GBPUSD Expected to Decline Further After Double Top Breakdown Near 1.1850
Positive,"USDJPY Rises to 13740 on Hawkish Remarks by Fed's Powell, Focus on BoJ Policy and US Job Data"
Negative,"AUDUSD Likely to Approach Support Around 0.6540, Bearish Trend Continues"
Negative,EURUSD Falls Toward 1.0530 as Fed's Powell Supports Further Rate Hikes
Neutral,GBPUSD Holds Above 1.1800 at 35-Month Low Amid Brexit and Fed Speculation
Neutral,BoJ Announces Bond-Buying Operation for Wednesday
Positive,USDJPY Analysis: Bulls Find Support at Three-Month High Amid Overbought RSI
Negative,AUDUSD Targets Further Decline Below 0.6570 After RBA Lowe's Less Hawkish Comments
Negative,"GBPUSD Analysis: Downside Resumes as Yields Rise, Fed Rate Hike Fears Grow"
Negative,"AUDUSD Breaks to New Low, Moves Away from 50% Midpoint at 0.6663"
Neutral,"BOJ to End Yield Curve Control in 2023, Unlikely to Tweak Policy This Week: Reuters Poll"
Negative,"EURUSD Hits Multiday Low Below 1.0550 as Fed's Powell Widens Yield Curve Inversion, ECB's Lagarde Eyed"
Positive,"AUDUSD Rebounds From 13-Day Support Line, Aims for 0.6600"
Negative,"EURUSD Could Dip Below 1.0500, UOB Warns"
Negative,"German Retail Sales Plunge 6.9% YoY in January, Missing Expectations"
Positive,"German Industrial Production Jumps 3.5% MoM in January, Exceeding Expectations"
Negative,"GBPUSD Faces Next Support at 1.1750, UOB Observes"
Positive,"USDJPY Maintains Gains Near Highest Level Since Mid-December, Above 200-Day SMA"
Negative,Hawkish Powell Boosts US Dollar to Multi-Month Highs Ahead of US Data
Negative,"AUDUSD Risks Further Downside in Near Term, UOB Suggests"
Negative,"EURUSD Upside Potential Limited, Commerzbank Notes"
Positive,"USDJPY: 138.20 Region in Sight, Says UOB"
Negative,"GBPUSD Hovers Near Year-to-Date Low, Vulnerable Below 200-Day SMA Amid Bullish USD"
Negative,"AUDUSD Buyers Fail, Price Drops Below 100-Hour and 100-Day MAs"
Negative,"AUDUSD Expected to Extend Slide Toward 0.6400 by End of Q1, Says Credit Suisse"
Neutral,ECB's Visco: Monetary Policy Must Remain Prudent
Positive,"EURUSD Could Break Below 1.0500 Today or Tomorrow, ING Predicts"
Neutral,BoE's Dhingra: Overtightening Poses Significant Risk at This Stage
Negative,"EURUSD Rebounds From Two-Month Lows Near 1.0520, Awaits Powell's Data"
Neutral,"AUDUSD Holds onto Modest Recovery Near 0.6600, Limited Upside Potential Seen"
Negative,"Immediate Rate Outlook Suggests Further USD Potential, Says Commerzbank"
Negative,"GBPUSD Target for Double Top Pattern Near 1.1230-1.1150, SocGen Predicts"
Negative,"USDJPY Bears Expect Cross at 125 in Three Months, Danske Bank Says"
Negative,"EURUSD Must Hold Key Support at 1.0483-1.0463 to Avoid Reaching a Top, Credit Suisse Notes"
Neutral,When Is the US ADP Employment Report and How Could It Affect EURUSD?
Negative,"GBPUSD Weekly Close Below 1.1841 January Low to Signal Deeper Selloff, Credit Suisse Warns"
Negative,"AUDUSD Weekly Close Below Key Levels at 0.6628 to Open Up Deeper Move Lower, Credit Suisse Suggests"
Neutral,"USDJPY Flirts with Daily Low Despite Upbeat US ADP Report, Holds Above 137.00 Mark"
Negative,EURUSD Price Analysis: Further Losses Could Retest 2023 Low
Negative,"EURUSD Could Drop Below 1.0500 If Fed Implements Larger 50 bps Hike This Month, MUFG Warns"
Negative,USDJPY Moves Lower Toward Cluster of Moving Averages
Negative,GBPUSD Subdued Around 1.1840s After YTD Low Around 1.1800
Neutral,USDJPY Hangs in Balance of Key US Data
Neutral,"EURUSD Seesaws Around 1.0540s, Shy of 200DMA at 1.0536"
Negative,AUDUSD Price Analysis: Bears Aim for Break Below 0.6520
Neutral,"Forex Today: Dollar Firm After Powell, Ahead of NFP"
Negative,AUDUSD Holds Lower Ground Near Multiday Low Below 0.6600 Ahead of China Inflation
Neutral,EURUSD Price Analysis: Support Structure Stalls Full-Blown Breakout
Negative,GBPUSD Retreats from 1.1850 as Risk-Off Mood Returns Amid Tight US Labor Market
Neutral,"BCC: UK to Avoid Recession This Year, But Outlook Still Weak"
Neutral,UK Finance Ministry: Britain to Launch Review into Attracting More Stock Market Listings
Neutral,"Japanese GDP Q4: 0.1% Expected, 0.6% Previous, USDJPY Stable"
Negative,USDJPY Bears Test 137.00 After Japan GDP
Negative,"EURUSD Stabilizes Near 1.0550 as ECB, Fed Policymakers Reiterate Hawkish Guidance"
Negative,"AUDUSD Vulnerable Near 0.6600 as US Labor Market Strengthens, Eyes on China CPI"
Neutral,"USDJPY Trades Between 200-Day MA Above and 100-Day MA Below, Along with 100/200-Hour MAs"
Negative,GBPUSD Fails to Justify Bullish Spinning Top Near Multiday Low Around 1.1850
Neutral,"China CPI Comes in at 1.0% vs 1.9% Expected, AUD Unchanged"
Negative,"AUDUSD Bears Target 0.6540 Support on Downbeat China Inflation, Biden's Tax Proposal"
Positive,USDJPY Bulls Testing 200-Day DMA on Front Side of Bull Trend
