true_sentiment,title
Neutral,ECB’s de Guindos Interest rate path after March will be datadependent
Positive,ECB’s Muller It is probably not the final hike in March
Negative,USDJPY Yen strengthening trend will resume – MUFG
Neutral,AUDUSD touches fresh daily top near 06765 region upside potential seems limited
Negative,Further downside is possible in AUDUSD and NZDUSD before eventual basing and rebounds develop – CIBC
Positive,EURUSD regains the smile and the area above 10600
Positive,Trend stronger for GBP later in the year – MUFG
Negative,GBPUSD Break below 11920 could fuel more downward pressure –  OCBC
Neutral,GBPUSD More range trading around the 120 point may develop – Scotiabank
Neutral,GBPUSD Price Analysis Sticks to gains around 12000 mark 200 DMA holds the key for bulls
Negative,EURUSD Push under 10580 might see a bit more downward pressure develop – Scotiabank
Negative,USDJPY Price Analysis Flirts with daily low around 13600 mark amid weaker USD
Neutral,When is the US ISM Services PMI and how could it affect EURUSD
Positive,EURUSD Price Analysis Bulls need to clear the 55day SMA
Positive,EURUSD Upside potential 112 by end2023 and 116 by end2024 – ABN Amro
Neutral,GBPUSD remains near 12000 after US data virtually flat for the week
Neutral,AUDUSD consolidates at around 06740 for the week with traders eyeing Fed speeches
Positive,USDJPY holds the 200 hour MA for the 3rd time in 6 days
Negative,USDJPY Price Analysis Retraces toward 13600 on soft USD
Positive,Forex Today Dollar ends fourweek positive streak ahead of NFP week
Positive,USD drops further late on Friday extending weekly losses
Positive,EURUSD regained 10600 extending its gains due to a soft US Dollar
Negative,AUDUSD dips back below 100 hour/100 day MA after ISM data
Positive,AUDUSD coiled and it gives us plenty of risk events this week including the RBA
Neutral,EURUSD Price Analysis Bulls eye a test of bears commitments near 10700
Positive,ECB’s Lagarde Eurozone inflation will stay high in nearterm so a 50 bps rate hike is increasingly certain
Neutral,GBPUSD Price Analysis Cable retreats towards resistance turned support near 12000
Negative,USDJPY Price Analysis Bears in charge while below 13650
Negative,AUDUSD Price Analysis Pullback from 50EMA highlights 06720 support
Neutral,China announced its annual growth target to be 5
Positive,EURUSD grinds higher past 10600 ahead of Eurozone Retail Sales focus on Fed Chair Powell US NFP
Negative,GBPUSD Mildly offered below 12050 as Brexit optimism fades UKUS data Fed Chair Powell eyed
Negative,USDJPY traces sluggish yields below 13600 Fed’s Powell BoJ’s Kuroda in the spotlight
Neutral,China’s NDRC Economy steadily improving
Neutral,AUDUSD looks to regain 06800 amid mixed China news RBA vs Fed play US NFP eyed
Neutral,EURUSD Price Analysis 100SMA probes buyers amid sluggish start to the key week
Neutral,GBPUSD consolidates in a range holds steady above 12000 mark amid softer USD
Neutral,EURUSD faces further consolidation near term – UOB
Neutral,GBPUSD expected to trade within 1192512120 – UOB
Negative,ECB’s Centeno Interest rates have risen too fast
Positive,AUDUSD Weak phase over – UOB
Neutral,USDJPY trades with modest losses amid softer USD downside seems limited
Neutral,AUDUSD holds steady above mid06700s remains confined in a familiar trading range
Neutral,RBA Preview  The downside risk for AUD is a dialdown of the hawkish rhetoric – OCBC
Neutral,EURUSD probably ends March in the 107108 area – ING
Neutral,USDJPY now faces some range bound trading – UOB
Neutral,EURUSD Resistance at 1066080 support at 10580 – OCBC
Positive,EURUSD extends the bounce to the 10660 region USD looks offered
Negative,Eurozone Sentix Investor Confidence Index worsens to 111 in March vs 86 expected
Negative,Eurozone Retail Sales decline 23 YoY in February vs 19 expected
Negative,GBPUSD Potential descending triangle could be forming with support at 11920 levels – OCBC
Neutral,EURUSD Moderately positive mediumterm not optimistic longterm – Commerzbank
Neutral,This week it is hard to find a UK catalyst for Sterling to break out of recent ranges – ING
Positive,RBA Preview Forecasts from 9 major banks hiking for the fifth time by 25 bps
Negative,USDJPY Upside scope is diminishing – MUFG
Negative,EURUSD January low of 1048010440 is crucial support zone – SocGen
Neutral,EURUSD Price Analysis Gains remain capped by the 55day SMA
Neutral,USDJPY December peak of 13770 13810 must be overcome to affirm a larger rebound – SocGen
Negative,RBA Preview A less hawkish message could weigh modestly on the Aussie – MUFG
Neutral,USDJPY waffles above and below the 200 hour MA
Neutral,EURUSD stays above 100 hour MA but upside has some work to do
Negative,EURUSD Scope for dips below the 106 level into the middle of the year – Rabobank
Positive,EURUSD Euro could enjoy some appreciation in the second half of the year – NBF
Negative,GBPUSD turns negative with bears eyeing 12000 below the 100DMA
Neutral,RBA Preview Three scenarios and their implications for AUDUSD – TDS
Positive,EURUSD firm above 10650 approaches last week highs
Neutral,GBPUSD pushes toward the 100 day MA and stalls the fall
Positive,EURUSD moves up to test the high from last week
Negative,GBPUSD pressured by late US Dollar comeback and central bank divergence themes
Neutral,Forex Today Markets remain choppy as Powell takes centre stage
Neutral,AUDUSD levels in play through rate decision
Positive,AUDUSD extends recovery above 06730 as RBA looks to stretch rates further
Positive,GBPUSD Price Analysis Bulls travel through a bumpy road past 12000
Neutral,EURUSD Price Analysis Eyes 10700 amid the riskon mood
Neutral,USDJPY fluctuates at around 13590s ahead of Powell’s speech
Neutral,Aussie Trade Balance leaves AUDUSD unchanged
Neutral,AUDUSD grinds past 06700 on mixed Australia trade numbers RBA Fed Chair Powell eyed
Negative,EURUSD eases below 10700 as Fed Chair Powell’s Testimony looms
Neutral,GBPUSD gyrates in a bounded range above 12000 as Fed Powell’s testimony hogs limelight
Neutral,Analysts see possible China RRR cut coming
Neutral,USDJPY Price Analysis Recovery needs validation from 13650 hurdle
Neutral,China’s Qin We resolutely oppose all forms of hegemony cold war mentality
Positive,Australias PM Albanese The relationship with China has improved
Neutral,Breaking RBA hikes OCR by 25 bps to 360 in March as expected
Negative,AUDUSD plummets towards 06700 even as RBA lifts interest rate by 25 bps Feds Powell eyed
Neutral,RBA The monthly CPI indicator suggests that inflation has peaked in Australia
Neutral,China’s JanuaryFebruary Trade Balance Surplus balloons as imports plummet
Neutral,EURUSD looks set to test 10700 ahead of Fed Powell’s testimony and US Employment
Positive,GBPUSD Price Analysis Bulls keep the reins near 12050 within ascending triangle
Negative,AUDUSD Price Analysis Prone to sheer downside below 06700 despite hawkish RBA
Neutral,USDJPY hovers around 13600 as investors eye Fed Powell’s testimony and BoJ policy
Positive,EURUSD Door open to a probable move to 10750 – UOB
Negative,GBPUSD faces further consolidation near term – UOB
Neutral,EURUSD might nudge back to the lower end of the 1060010700 range – ING
Neutral,USDJPY now points to further range bound – UOB
Negative,GBPUSD surrenders modest intraday gains hangs near daily low ahead of Powell’s testimony
Negative,AUDUSD dives as RBA’s statement not restrictive enough for the market – Commerzbank
Neutral,ECBs de Cos Spain’s core CPI to stay high in the shortterm then ease gradually
Negative,AUDUSD weakens further below 06700 mark fresh YTD low ahead of Powell’s testimony
Negative,EURCHF Too early for a sustainable jump above parity – Commerzbank
Positive,BoEs Mann I think more needs to be done with rates
Negative,EURUSD appears offered near 10660 looks at Powell
Neutral,Battle between EUR and USD is far from decided – Commerzbank
Neutral,USDJPY struggles for firm direction stuck in a range around 13600 ahead of Feds Powell
Negative,Dovish RBA hike frustrates AUD bulls – SocGen
Negative,GBPUSD Under threat if Powell and US NFP elicit fresh Dollar buying this week – SocGen
Negative,GBPUSD Price Analysis Slides below 12000 amid modest USD strength ahead of Fed’s Powell
Neutral,USDJPY could hang around 135137 through March turning back lower in H2 – ING
Negative,EURCHF to suffer a substantial drop on a break below 0984009830 – SocGen
Negative,AUDUSD adds to postRBA losses plummets to fresh YTD low ahead of Fed’s Powell
Negative,GBPUSD to stay soft through March returning to 123125 this summer – ING
Positive,EURUSD Price Analysis Bulls need to clear the 10700 region
Neutral,AUDUSD to remain on the back foot into the middle of the year climbing back to 070 by end2023 –  Rabobank
Positive,USDJPY soars toward 13680s on Powell’s hawkish speech
Negative,EURUSD tumbles toward 10580 as DXY jumps on Fed Powell’s remarks
Negative,EURUSD corrects back to the 200 hour MA. Finds sellers.
Negative,GBPUSD plunges below 11900 on hawkish remarks by Federal Reserve Chair Powell
Negative,AUDUSD falls heavily as bears move in towards the 06580s target area
Positive,ECB Knot ECB can be expected to raise rates for some time after March
Negative,EURUSD is still losing ground into late US trade bears hungry for more
Negative,EURUSD continues the run lower.
Negative,Forex Today Dollar bulls welcome hawkish Powell volatility to stay
Positive,USDJPY Price Analysis Bulls eye a break of 200 DMA and eye 13820s
Neutral,RBA’s Lowe Closer To Pausing On Rate Hikes
Negative,AUDUSD stays pressured at fourmonth low under 06600 as RBA’s Lowe sounds dovish
Negative,EURUSD Price Analysis Bears attack two month old support near 10540 to keep the reins
Positive,RBA’s Lowe China reopening is positive for our economy
Negative,GBPUSD Price Analysis More downside looks inevitable on Double Top breakdown near 11850
Positive,USDJPY climbs to 13740 on hawkish Fed Powell’s remarks BoJ policy and US Job data in focus
Negative,AUDUSD Price Analysis Bears appear wellset to approach 06540 support
Negative,EURUSD declines towards 10530 as Fed’s Powell endorses more rates
Neutral,GBPUSD steadies above 11800 at 35month low amid Brexit Fed chatters
Neutral,BoJ announces bondbuying operation on Wednesday
Positive,USDJPY Price Analysis 200DMA prods bulls at three month high amid overbought RSI
Negative,AUDUSD eyes more downside below 06570 on RBA Lowe’s less hawkish remarks
Negative,GBPUSD Price Analysis Downside resumes as yields soar amid fears of bigger rates from Fed
Negative,AUDUSD breaks to a new low. Moves away from the 50% midpoint at 0.6663
Neutral,BOJ will end YCC in 2023 but tweak this week unlikely economists say – Reuters poll
Negative,EURUSD refreshes multiday low under 10550 as Fed’s Powell widens yield curve inversion ECB’s Lagarde eyed
Positive,AUDUSD Price Analysis Bounces off 13dayold support line to aim for 06600
Negative,EURUSD could slip back below 10500 – UOB
Negative,German Retail Sales plunge 69 YoY in January vs 61 expected
Positive,German Industrial Production jumps 35 MoM in January vs 14 expected
Negative,GBPUSD faces the next support at 11750 – UOB
Positive,USDJPY sticks to gains near its highest level since midDecember just above 200day SMA
Negative,Forex Today Hawkish Powell lifts US Dollar to multimonth highs ahead of US data
Negative,AUDUSD risks further downside near term – UOB
Negative,EURUSD is very limited on the upside – Commerzbank
Positive,USDJPY The 13820 region now emerges on the horizon – UOB
Negative,GBPUSD hags near YTD low remains vulnerable below 200 DMA amid bullish USD
Negative,The AUDUSD buyers fail.  Price is back below the 100 hour and 100 day MAs
Negative,AUDUSD to extend its slide toward 06400 by end Q1 – Credit Suisse
Neutral,ECB’s Visco Monetary policy will have to remain prudent
Positive,EURUSD 10500 can be broken today or tomorrow – ING
Neutral,BoEs Dhingra Overtightening poses a more material risk at this point
Negative,EURUSD bounces off 2month lows near 10520 looks at Powell data
Neutral,AUDUSD clings to modest recovery gains around 06600 upside potential seems limited
Negative,Immediate rate outlook seems to offer further USD potential – Commerzbank
Negative,GBPUSD Target for double top pattern is near 11230 11150 – SocGen
Negative,USDJPY Bearish stance expect the cross at 125 in three months – Danske Bank
Negative,EURUSD needs to hold key support at 1048363 to avoid a top– Credit Suisse
Neutral,When is the US ADP employment report and how could it affect EURUSD
Negative,GBPUSD Weekly close below the 11841 January low to signal a much deeper selloff – Credit Suisse
Negative,AUDUSD Weekly close below key levels at 06628 to open up a much deeper move lower – Credit Suisse
Neutral,USDJPY flirts with daily low despite upbeat US ADP report holds above 13700 mark
Negative,EURUSD Price Analysis Further losses could retest the 2023 low
Negative,EURUSD could fall below 105 if the Fed delivers a larger 50 bps hike this month – MUFG
Negative,USDJPY moves lower and toward the cluster of MAs
Negative,GBPUSD is subdued around 11840s after printing a YTD low around 11800
Neutral,USDJPY hangs in the balance of key US data
Neutral,EURUSD seesaws around 10540s shy of the 200DMA at 10536
Negative,AUDUSD Price Analysis Bears eye a break to 06520
Neutral,Forex Today Dollar firm after Powell ahead of NFP
Negative,AUDUSD holds lower ground near multiday low below 06600 ahead of China inflation
Neutral,EURUSD Price Analysis Support structure stands in the way of a full blown breakout
Negative,GBPUSD retreats from 11850 as riskoff mood rebounds amid tight US labor market
Neutral,BCC UK to avoid recession this year but outlook still weak
Neutral,UK Finance Ministry Britain to launch review into attracting more stock market listings
Neutral,Japanese GDP Q4 01 exp 08 prev 06 USDJPY stable
Negative,USDJPY bears testing 13700 after Japan GDP
Negative,EURUSD steadies near 10550 as ECB Fed policymakers repeat hawkish guidance
Negative,AUDUSD looks vulnerable near 06600 as US labor market solidifies further China CPI eyed
Neutral,USDJPY trades between 200 day MA above and 100 day MA below (and 100/200 hour MAs)
Negative,GBPUSD Price Analysis Fails to justify bullish spinning top near multiday low around 11850
Neutral,China CPI in at 10 vs 19 expected AUD unchanged
Negative,AUDUSD bears eye 06540 support on downbeat China inflation US President Biden’s tax proposal
Positive,USDJPY Price Analysis Bulls testing the 200 DMA on the front side of bull trend
Neutral,EURUSD Price Analysis 100DMA Doji candlestick prod bears around mid10500s
Negative,GBPUSD attempts to surpass 11850 downside looks favored as focus shifts to US NFP
Negative,AUDUSD Price Analysis Absence of recovery signals favors more downside 06500 eyed
Neutral,EURUSD extends recovery above 10550 downside seems likely as US NFP hogs limelight
Negative,EURCHF Unlikely to benefit from growing optimism in Europe – MUFG
Negative,EURUSD risks a gradual decline to 10485 – UOB
Negative,EURUSD Not trading at stronger levels partially due to ECB long hesitation – Commerzbank
Negative,GBPUSD faces the next support around 11750 – UOB
Negative,No support coming for the Yen the Loonie or even the Aussie in the nearterm – SocGen
Neutral,GBPUSD clings to modest gains around mid11800s amid softer USD lacks bullish conviction
Neutral,EURUSD to trade in a 1050010600 range for the time being – ING
Positive,ECBs Villeroy We will bring inflation back to 2 by end2024 or end2025
Positive,USDJPY now looks at a potential visit to 13820 – UOB
Negative,USDJPY retreats further from YTD top amid weaker USD holds above 13600 mark
Neutral,GBPUSD 11650 certainly looks like the direction of travel – ING
Positive,EURUSD regains the smile and bounces off 2month lows
Neutral,AUDUSD clings to intraday gains above 06600 mark upside potential seems limited
Neutral,EURCHF SNB to prevent a move above 100 – Danske Bank
Neutral,GBPUSD Next catalyst likely to still come from USD side of the equation focus on NFP – OCBC
Negative,EURCHF The direction of travel is back towards the 0980009825 area over the coming months – ING
Negative,EURUSD to consolidate around 1052010580 range – OCBC
Negative,US Dollar to thrive as rates will stay higher for longer – Rabobank
Negative,USDJPY Price Analysis Flirts with daily low around 13600 focus shifts to BoJ on Friday
Negative,EURUSD Price Analysis Scope for extra weakness near term
Neutral,BoJ Preview Forecasts from six major banks no change at the final meeting under Kuroda
Negative,GBPUSD looks toward falling 100 hour moving average
Neutral,USDJPY retests the MA cluster
Negative,GBPUSD faces resistance at 11930 after rebounding off YTD lows at 11800s
Positive,EURUSD pushes against swing area resistance
Neutral,EURUSD traders are counting down the clock to critical events
Negative,AUDUSD Price Analysis Bears on the prowl below key resistance
Neutral,Forex Today Risk off and a mixed Dollar with all eyes on NFP
Negative,USDJPY eyes a break below 13600 as investors digest Fed’s rate hike fears BoJ policy eyed
Negative,AUDUSD remains fragile below 06600 as US NFP looms
Positive,GBPUSD grinds higher past 11900 ahead of UK data dump US NFP
Negative,EURUSD Price Analysis Offers seem possible amid lack of strength in recovery near 10600
Neutral,Japan Finance Minister expects BOJ to work closely with govt
Negative,AUDUSD Price Analysis Looks set for a breakdown of 06580 ahead of US NFP
Neutral,EURUSD bulls poke 10600 as mixed US data test Fed hawks US NFP ECB’s Lagarde eyed
Negative,USDJPY Price Analysis Bears are moving in ahead of BoJ
Neutral,GBPUSD marches towards 11950 as investors ignore aggressive Fed bets UK data in focus
Neutral,Kazuo Ueda approved as next Bank of Japan governor
Neutral,When is the BoJ rate decision and how could it affect USDJPY
Neutral,Breaking BoJ keeps monetary policy and yield control policy unchanged
Positive,ECB deposit rate to peak at 375 or higher as inflation stays sticky – Reuters poll
Neutral,BoJ Inflation expectations heightening
Neutral,USDJPY marks 100pip whipsaw on BoJ status quote Kuroda’s farewell eyed
Neutral,EURUSD Price Analysis Bulls need validation from 10650 and US NFP to keep control
Negative,AUDUSD refreshes fourmonth low at 06560 as investors turn anxious for US NFP release
Neutral,GBPUSD Price Analysis Manages breath above 11900 downside seems favored
Positive,USDJPY Price Analysis Eyes more upside above 13700 as BoJ continues ultra loose policy
Neutral,When are the UK data releases and how could they affect GBPUSD
Neutral,BoJ’s Kuroda Wont hesitate to ease monetary policy further if necessary
Positive,BoJ’s Kuroda Positive effects of monetary easing far exceeded sideeffects
Positive,UK GDP grows 03 MoM in January vs 01 expected
Negative,UK Manufacturing Production declines 04 MoM in January vs 01 expected
Positive,GBPUSD climbs to threeday top around mid11900s on betterthanexpected UK GDP
Negative,EURUSD still seen grinding lower to 1045 – UOB
Positive,AUDUSD recovers early lost ground to fresh YTD low climbs back to 06600 amid weaker USD
Neutral,Too much Yen weakness would not be justified – Commerzbank
Negative,GBPUSD Further weakness emerges below 11950 – UOB
Positive,EURUSD to surge toward 107 on soft NFP report – ING
Negative,AUDUSD faces a major support around 06500 – UOB
Negative,BoE monetary policy continues to put pressure on Sterling – Commerzbank
Neutral,USDJPY seems to have moved into a consolidative theme – UOB
Positive,EURUSD flirts with 3day highs around 10600 ahead of US Payrolls
Neutral,USDJPY sticks to BoJ inspired gains remains below 13700 ahead of US NFP report
Positive,GBPUSD Price Analysis Bulls flirt with 12000 mark focus remains on US NFP report
Positive,USDJPY Strong bout of US data could reopen a move to 140 – TDS
Negative,EURUSD Prone to renewed softness on the charts – Scotiabank
Positive,GBPUSD Sustained push back above 100DMA at 12017 should enhance the rebound – Scotiabank
Positive,EURUSD climbs to fresh tops near 10630 postPayrolls
Positive,GBPUSD rallies back closer to weekly high around mid12000s on mixed US jobs data
Negative,USDJPY falls to test daily lows near 13580 after NFP
Positive,AUDUSD refreshes daily top amid postNFP USD selloff lacks followthrough
Negative,USDJPY A bigger retracement could be on the horizon – MUFG
Neutral,AUDUSD moves up but runs into the 100 hour MA
Positive,EURUSD Further rise to 112 until mid2024 – Commerzbank
Positive,EURUSD trades to a new session high as yields tumble
Positive,AUDUSD to climb back sustainably above 070 in the second half of 2023 – ING
Neutral,USDCHF to reach 095 on a threemonth view – Rabobank
Positive,"US dollar tumbles further. A technical look at the USDCHF and GBPUSD, the biggest movers."
Neutral,USDJPY tests 134.00 area and swing area target between 134.068 and 134.15
Neutral,GBPUSD Price Analysis Climbs on USD weakness but fails to conquer the 200DMA
Neutral,Forex Today DXY ends week flat after Powell and NFP ahead of US CPI Wall Street plunges
Positive,EURUSD climbs on high inflation data in Germany as the USD sinks post US NFP
Neutral,AUDUSD Price Analysis H1 Mformation holds the bears hostage for the open
Positive,EURUSD gaps up as US Dollar gets shunned in the open
Positive,AUDUSD marches towards 06650 as fears from SVB abate Aussie employment US inflation eyed
Positive,EURUSD Price Analysis Bulls attack 200SMA as ECB week begins with riskon mood
Positive,GBPUSD bulls are in the market testing bear commitments at 12100
Positive,USDJPY traces recovery in yields to bounce off onemonth low towards 13500 US inflation BoJ Minutes eyed
Neutral,AUDUSD Price Analysis Bulls meet channel resistance near 06650 but committed from 06600
Positive,Japan’s Matsuno Dont see big impact on Japanese financial companies from SVB fallout
Neutral,China’s President Xi Must resolutely oppose interference of external forces split of Taiwan
Positive,EURUSD bulls cheer SVBled riskon mood easing hawkish Fed bets to cross 10700 US inflation ECB eyed
Positive,GBPUSD Price Analysis Cable bulls prod 50DMA hurdle above 12100 as the key week begins
Negative,USDJPY Price Analysis Yen renews one month low near 13400 as bears approach 50DMA
Positive,AUDUSD surges the most in nine weeks on SVB and Fedled riskon mood
Positive,EURUSD Price Analysis Bulls flirt with 10730 resistance confluence
Neutral,EURUSD now faces some nearterm consolidation – UOB
Neutral,GBPUSD Outlook remains mixed for the time being – UOB
Negative,AUDUSD Dwindling bets for a drop to 06500 – UOB
Positive,USDJPY faces strong support around 13300 – UOB
Positive,EURUSD set to extend its race higher toward the 1078010800 area – ING
Neutral,GBPUSD Not chasing Cable over 122 – ING
Positive,EURUSD extends the sharp bounce past 10700
Negative,Significant bullish disinversion of the US yield curve to send Dollar lower – ING
Positive,EURUSD Euro to benefit from the apparent failure of Fed monetary policy – Commerzbank
Positive,AUD and CAD to consolidate over the near term before strengthening later in the year – HSBC
Positive,EURUSD Strengthening trend remains firmly in place ahead of ECB policy meeting – MUFG
Negative,GBPUSD Price action looks weak for the Pound – Scotiabank
Negative,USDJPY plunges to 13350 as bearish sentiment for USD prevails
Neutral,AUDUSD moves up to test 200 hour MA again
Neutral,"What are some technical levels in play for the EURUSD, USDJPY and GBPUSD?"
Negative,EURUSD Losses may extend a little more on a break under 10635 – Scotiabank
Positive,EURUSD Price Analysis Bulls now look at 10800 and beyond
Positive,EURUSD moves back into swing area and above 1.0700
Neutral,EURUSD In a volatile sideways movement around 108 for the time being – Erste Group
Positive,GBPUSD rises to onemonth highs above 12150 as DXY tumbles
Positive,GBPUSD moves to new session highs and in the process extends above recent swing highs
Negative,JPY and EUR to benefit but NZD and AUD will be the biggest winners of a 1990sstyle mild recession – SocGen
Positive,AUDUSD soars to 06718 amid catastrophic SVB bank collapse
Positive,ECB plans to hike by 50 bps despite SVB collapse – MNI
Neutral,USDJPY moves back toward 200 bar MA on the 4-hour chart
Positive,EURUSD bulls march up to the gates of the Bear´s cage ahead of US CPI
Negative,GBPUSD Price Analysis Bears seek a break of structure while price slows below 12200
Negative,USDJPY bulls eye propetcs of a correction ahead of US CPI
Positive,EURUSD bulls cheer drops in hawkish Fed bets above 10700 with eyes on US inflation
Positive,GBPUSD grinds near onemonth high below 12200 ahead of UK employment US CPI
Positive,UK Chancellor Hunt sets out English investment zones ahead of budget
Neutral,AUDUSD drifts lower from the 06700 mark as the market prepares for US CPI
Negative,USDJPY juggles above 13300 downside seems likely as Fed to continue soft rate hike spell
Positive,GBPUSD Price Analysis Bulls about to show their commitments
Negative,AUDUSD slides to 06650 as markets pare SVBled moves ahead of US inflation
Positive,EURUSD Price Analysis Bulls lead the pair above the 10700 mark amid the US Dollar weakness
Neutral,Japan’s Suzuki Closely watching how SVB case may impact Japans economy financial conditions
Positive,USDJPY tracks corrective bounce in yields to aim for 13400 ahead of US inflation data
Negative,GBPUSD extends downside to near 12150 ahead of UK Employment and US Inflation
Neutral,AUDUSD Price Analysis The pair rebounds from 06560 and stalled at descending trend line
Neutral,EURUSD seeks cushion around 10700 as Fed to avoid bigger rate hikes amid SVB collapse
Neutral,When are the UK jobs and how could they affect GBPUSD
Positive,USDJPY kisses the 13400 mark on a rebound ahead of US CPI
Positive,GBPUSD Sustained gains likely above 12440 – UOB
Neutral,UK ILO Unemployment Rate steadies at 37 in January vs 38 expected
Negative,GBPUSD bounces off daily low postUK jobs data remains below 12200 amid strong USD
Neutral,ECB’s Stournaras Do not see any impact from SVB collapse on Eurozone banks
Neutral,EURUSD The size of the rally depends on the Feds “overreaction” – ING
Negative,AUDUSD flatlines above mid06600s amid positive risk tone resurgent USD demand
Negative,USD Index Risks of another leg lower – ING
Negative,EURUSD comes under pressure and pierces 10700 ahead of US CPI
Positive,Hawkish ECB to support EUR as long as there are no contagion effects in European banking sector – Commerzbank
Negative,USDJPY risks extra pullbacks in the near term – UOB
Neutral,GBPUSD trades with modest losses around mid12100s focus remains on US CPI report
Positive,GBPUSD to test January 12450 highs even if the BoE decides to hold – ING
Positive,USDJPY rebounds from 13304 ahead of Tuesday’s US CPI and BoJ’s minutes
Positive,GBPUSD Technical condition looks relatively strong – Scotiabank
Neutral,EURUSD Sustained break above 55DMA at 10719 to boost nearterm outlook – Scotiabank
Positive,EURUSD resumes the upside near 10750 postUS CPI
Neutral,AUDUSD lacks any firm direction remains confined in a range below 06700 postUS CPI
Negative,AUDUSD 200DMA at 0678006850 likely to cap upside – SocGen
Positive,USDJPY rises toward 13500 after US CPI fueled by Treasury yields
Neutral,EURUSD Rebound could remain contained – SocGen
Positive,EURUSD Price Analysis Further upside still looks favoured
Neutral,AUDUSD sets floor and ceiling levels in up and down trading
Neutral,GBPUSD trades around 12164 after the anticipated US CPI data
Positive,EURUSD could nudge closer to early February highs above 108 on hawkish ECB press conference – SocGen
Negative,USDCHF and USDJPY pops will inevitably be faded – TDS
Negative,EURUSD slips just below Tuesday’s open price of 10729
Neutral,AUDUSD bulls run into offers near 06700 with mixed Fed bets
Neutral,GBPUSD consolidates at highs.  Buyer and sellers battle in a 68 pip range.
Neutral,GBPUSD bulls meet resistance near 122 ahead of UK budget
Positive,USDJPY Price Analysis Bullish correction in fullflight 135´s eyed
Positive,AUDUSD aims to recapture 06700 as worries for bigger Fed rate hikes fade
Neutral,UK Chancellor Hunt hemmed in by debt set to focus on growth in British budget
Positive,EURUSD Price Analysis Bulls find comfort above the 10700 level after the US CPI release
Negative,GBPUSD Price Analysis Further downside hinges on 12135 break and UK Budget
Neutral,BoJ Minutes Members agreed japans economy expected to recover
Positive,USDJPY scales to near 13450 on dovish BoJ minutes spotlight shifts to US Retail Sales
Negative,AUDUSD Price Analysis Prods sixweekold resistance below 06700 as bulls run out steam
Neutral,GBPUSD dribbles around mid12100s as UK Budget US Retail Sales loom
Neutral,China’s JanFeb Retail Sales jump 35 Industrial Output grows 24
Positive,AUDUSD looks set to regain 06700 despite mixed China data PBOC inaction
Negative,EURUSD bulls are tiring ahead of ECB and after US CPI
Neutral,China’s NBS Economic operations show stabilizing and recovery
Positive,Japan’s Suzuki Its goal of government to achieve pace of wage rises higher than that of inflation
Negative,USDJPY Price Analysis Justifies bear cross with mild losses near 13400
Neutral,BoJ’s Kuroda postBIS meeting There was debate on svb collapse mainly around impact on global markets
Neutral,EURCHF to trade in a 0970010000 range following SNB meeting – Credit Suisse
Negative,EURCHF A move all the way to the 09411 lows is on the cards – Credit Suisse
Positive,EURCHF Price Analysis Double Bottom reversal activates as Credit Suisse’s fiasco continues
Negative,AUDUSD falls to swing area/100 hour MA
Negative,USDJPY ticks to a new session low in early US trading
Positive,GBPUSD Price Analysis Pair rebounds from 21DMA amid muted US Dollar demand
Positive,AUDUSD Price Analysis Inch far from weeklyhigh above 06700 as riskon mood strengthens
Positive,GBPUSD bulls poke 12150 ahead of UK US Consumer Inflation Expectations
Neutral,BoJ’s Kuroda Possible to further lower shortterm interest rate but cannot comment
Neutral,GBPUSD clings to the consolidative mood – UOB
Neutral,AUDUSD still seen within 0657006735 – UOB
Positive,AUDUSD Room for gains should market confidence stabilise further – OCBC
Neutral,Japan’s Top FX Diplomat Kanda Govt BoJ must take seamless response to market moves
Positive,AUDUSD sits near twoweek high above 06700 amid positive risk tone and weaker USD
Neutral,PBOC cuts banks’s Reserve Requirement Ratio by 25 bps
Neutral,BoE Survey UK public inflation expectations for coming year decline to 39 in February
Positive,Franc’s depreciation potential is limited – Commerzbank
Neutral,GBPUSD trims a part of its intraday gains holds comfortably above 12100 amid weaker USD
Negative,USDJPY Room for further losses near term – UOB
Negative,USDJPY bounces off daily low keeps the red above 13300 amid banking crisis fears
Neutral,GBPUSD bounces off the 200 hour MA and retests the 100 hour MA
Negative,AUDUSD retreats from nearly twoweek high back below 06700 amid riskoff mood
Negative,USDJPY tumbles to test 13200 as US yields slide
Positive,GBPUSD steadies near 12150 stays on track to post weekly gains
Neutral,USDJPY runs up to test the falling 100 hour MA. Key target.
Negative,Forex Today Yen gains in rough waters ahead of Fed SNB BoE and PMIs
Negative,USDJPY moves closer to the low from yesterday
Neutral,EURUSD trades between targets after the 50 bp hike
Neutral,"AUDUSD higher on the day, but..."
Positive,GBPUSD buyers are making a play above the 100 hour moving average
Neutral,EURUSD mired in an up and down day
Negative,EURUSD moves lower on banking concerns comments
Positive,EURUSD extending higher into the close for the week
Positive,AUDUSD Price Analysis Bulls eye a break into the 067s
Positive,GBPUSD pops in the open to test 12200
Positive,RBA’s Kent Australian banks are unquestionably strong
Positive,AUDUSD grinds higher past 06700 on Credit Suisse news comments from RBA’s Kent Fed eyed
Neutral,USDJPY bounces off from 13160 level after some joint effort from global central banks on liquidity
Neutral,BOJ board sees the need to maintain easy policy
Positive,GBPUSD eyes upside above 12200 as risk on mood solidifies on Credit Suisse buyout
Positive,AUDUSD Price Analysis Bulls making their case for 06750
